,P_mean,P_max,P_std,n_samples,day_of_week,hour,weekend,Baseline_Mean,Baseline_Max,ratio_mean,ratio_max,label_rel
2023-08-24 09:30:00+00:00,0.26422555555555555,1.854,0.16752589895642786,900,3,9,0,0.18719789998645783,0.9052795241183997,1.4114771350248587,2.0479862303364316,0
2023-08-24 09:45:00+00:00,0.20127222222222224,1.076,0.07126755042560262,900,3,9,0,0.18719789998645783,0.9052795241183997,1.0751841886943314,1.1885831628058254,0
2023-08-24 10:00:00+00:00,0.7874677777777778,3.446,0.8829906407816956,900,3,10,0,0.2358033333333333,1.0447358178628108,3.339510797604407,3.2984415208903184,0
2023-08-24 10:15:00+00:00,0.06063,1.638,0.2449872616833308,900,3,10,0,0.2358033333333333,1.0447358178628108,0.2571210472003506,1.5678604791695707,0
2023-08-24 10:30:00+00:00,0.02011,1.732,0.17143724098727897,900,3,10,0,0.2358033333333333,1.0447358178628108,0.08528293351804471,1.6578353784625743,2
2023-08-24 10:45:00+00:00,0.2900477777777778,2.425,0.5448597077808387,900,3,10,0,0.2358033333333333,1.0447358178628108,1.2300410417344023,2.3211609658035464,0
2023-08-24 11:00:00+00:00,0.9113044444444445,3.492,0.8199257383708367,900,3,11,0,0.1922890362917787,1.018020546680667,4.7392428711413075,3.430186170000134,0
2023-08-24 11:15:00+00:00,1.17799,3.13,1.037787408981371,900,3,11,0,0.1922890362917787,1.018020546680667,6.126142304923315,3.0745941329039,0
2023-08-24 11:30:00+00:00,1.4758488888888888,4.579,0.774020058956669,900,3,11,0,0.1922890362917787,1.018020546680667,7.6751587992226495,4.497944579733852,0
2023-08-24 11:45:00+00:00,1.5033699999999999,3.325,0.2615623372613829,900,3,11,0,0.1922890362917787,1.018020546680667,7.818282461610508,3.2661423296822583,0
2023-08-24 12:00:00+00:00,1.5395544444444444,1.679,0.07445293496003132,900,3,12,0,0.27467305555555555,0.9069984652311494,5.605043572004292,1.8511607950429172,0
2023-08-24 12:15:00+00:00,0.3655133333333333,2.023,0.6608774199705404,900,3,12,0,0.27467305555555555,0.9069984652311494,1.330721473913936,2.2304337631755935,0
2023-08-24 12:30:00+00:00,0.013445555555555556,1.255,0.12590722758435274,900,3,12,0,0.27467305555555555,0.9069984652311494,0.04895112674361337,1.3836848110654323,2
2023-08-24 12:45:00+00:00,0.0,0.0,0.0,900,3,12,0,0.27467305555555555,0.9069984652311494,0.0,0.0,2
2023-08-24 13:00:00+00:00,0.008626666666666666,0.837,0.08248435696235236,900,3,13,0,0.1967437805589345,0.7475,0.04384721408808424,1.1197324414715717,2
2023-08-24 13:15:00+00:00,0.0,0.0,0.0,900,3,13,0,0.1967437805589345,0.7475,0.0,0.0,2
2023-08-24 13:30:00+00:00,0.0005544444444444444,0.085,0.0059624643678003126,900,3,13,0,0.1967437805589345,0.7475,0.0028181040481651256,0.11371237458193979,2
2023-08-24 13:45:00+00:00,0.0,0.0,0.0,900,3,13,0,0.1967437805589345,0.7475,0.0,0.0,2
2023-08-24 14:00:00+00:00,0.008933333333333333,0.881,0.08661329037142926,900,3,14,0,0.09397722222222223,0.6213143042172673,0.09505849526185423,1.4179618818045483,2
2023-08-24 14:15:00+00:00,0.002242222222222222,0.22,0.02015339383712137,900,3,14,0,0.09397722222222223,0.6213143042172673,0.023859209382888283,0.3540880976129406,2
2023-08-24 14:30:00+00:00,0.01565888888888889,1.441,0.14515273793191477,900,3,14,0,0.09397722222222223,0.6213143042172673,0.166624300214591,2.319277039364761,0
2023-08-24 14:45:00+00:00,0.0,0.0,0.0,900,3,14,0,0.09397722222222223,0.6213143042172673,0.0,0.0,2
2023-08-24 15:00:00+00:00,0.01277,1.41,0.12396683771096943,900,3,15,0,0.40067555555555556,0.9907354537236684,0.03187117312982518,1.4231851648192564,2
2023-08-24 15:15:00+00:00,6.444444444444444e-05,0.058,0.0019333333333333342,900,3,15,0,0.40067555555555556,0.9907354537236684,0.00016083947111544946,0.05854236848192687,2
2023-08-24 15:30:00+00:00,0.0041355555555555555,0.428,0.041176705703249175,900,3,15,0,0.40067555555555556,0.9907354537236684,0.010321457094684532,0.4320023053493913,2
2023-08-24 15:45:00+00:00,0.0,0.0,0.0,900,3,15,0,0.40067555555555556,0.9907354537236684,0.0,0.0,2
2023-08-24 16:00:00+00:00,0.00840888888888889,0.826,0.08061003181378791,900,3,16,0,0.6228855555555555,1.1832759401749917,0.013499893863149466,0.698062025902297,2
2023-08-24 16:15:00+00:00,0.0,0.0,0.0,900,3,16,0,0.6228855555555555,1.1832759401749917,0.0,0.0,2
2023-08-24 16:30:00+00:00,0.21038444444444446,1.821,0.41509320419286466,900,3,16,0,0.6228855555555555,1.1832759401749917,0.33775778322038835,1.5389478803487686,0
2023-08-24 16:45:00+00:00,0.2670355555555555,3.161,0.5576530679816901,900,3,16,0,0.6228855555555555,1.1832759401749917,0.42870725316047004,2.6713971717641174,0
2023-08-24 17:00:00+00:00,0.11379666666666667,1.735,0.36714213284004915,900,3,17,0,0.8047283333333333,1.4705,0.14141004106976063,1.1798707922475349,0
2023-08-24 17:15:00+00:00,0.17036888888888888,0.394,0.033966670978512185,900,3,17,0,0.8047283333333333,1.4705,0.21170981787504548,0.2679360761645699,0
2023-08-24 17:30:00+00:00,0.3197811111111111,2.118,0.192338891103755,900,3,17,0,0.8047283333333333,1.4705,0.3973777209838241,1.440326419585175,0
2023-08-24 17:45:00+00:00,0.27285777777777775,0.44,0.13744902906227424,900,3,17,0,0.8047283333333333,1.4705,0.3390681879530083,0.29921795307718463,0
2023-08-24 18:00:00+00:00,0.29579333333333335,2.016,0.2437064773842115,900,3,18,0,0.6941388888888889,1.6135000000000002,0.42612989715474814,1.249457700650759,0
2023-08-24 18:15:00+00:00,0.3623922222222222,0.42,0.01884833636452553,900,3,18,0,0.6941388888888889,1.6135000000000002,0.5220745127856257,0.2603036876355748,0
2023-08-24 18:30:00+00:00,0.5811122222222221,2.275,0.20734379693768973,900,3,18,0,0.6941388888888889,1.6135000000000002,0.8371699547801031,1.4099783080260302,0
2023-08-24 18:45:00+00:00,0.844601111111111,1.061,0.07490640655460865,900,3,18,0,0.6941388888888889,1.6135000000000002,1.2167609748289248,0.6575766966222497,0
2023-08-24 19:00:00+00:00,0.8623088888888889,2.413,0.2724453270027963,900,3,19,0,0.71739,1.705,1.202008515436358,1.41524926686217,0
2023-08-24 19:15:00+00:00,0.6738244444444444,0.899,0.07749059480210031,900,3,19,0,0.71739,1.705,0.939272145477975,0.5272727272727272,0
2023-08-24 19:30:00+00:00,0.9238011111111112,2.531,0.21999649455921189,900,3,19,0,0.71739,1.705,1.287725102261129,1.484457478005865,0
2023-08-24 19:45:00+00:00,0.8318388888888889,0.914,0.039992958764145756,900,3,19,0,0.71739,1.705,1.159535104878642,0.5360703812316715,0
2023-08-24 20:00:00+00:00,0.7739677777777778,2.436,0.2344709095269839,900,3,20,0,0.6391277834054921,1.1844999999999999,1.210975016066133,2.056563951034192,0
2023-08-24 20:15:00+00:00,0.43590222222222225,0.568,0.038730772553015595,900,3,20,0,0.6391277834054921,1.1844999999999999,0.6820267144382077,0.4795272266779232,0
2023-08-24 20:30:00+00:00,0.39222555555555555,2.004,0.17073940884007763,900,3,20,0,0.6391277834054921,1.1844999999999999,0.6136887892209023,1.6918531025749264,0
2023-08-24 20:45:00+00:00,0.27346888888888893,0.326,0.011482739810614677,900,3,20,0,0.6391277834054921,1.1844999999999999,0.42787826783519384,0.27522161249472354,0
2023-08-24 21:00:00+00:00,0.2666866666666667,1.906,0.16924291156373952,900,3,21,0,0.5663944444444445,1.0761913833289372,0.47084972192523855,1.7710604540469845,0
2023-08-24 21:15:00+00:00,0.21563555555555555,0.263,0.019461735144667376,900,3,21,0,0.5663944444444445,1.0761913833289372,0.38071622642249703,0.24438032498129958,0
2023-08-24 21:30:00+00:00,0.25599333333333335,1.834,0.16311613733867408,900,3,21,0,0.5663944444444445,1.0761913833289372,0.4519700640503771,1.7041578555730168,0
2023-08-24 21:45:00+00:00,0.21783777777777777,0.262,0.02703724443845688,900,3,21,0,0.5663944444444445,1.0761913833289372,0.38460436876538723,0.24345112222471668,0
2023-08-24 22:00:00+00:00,0.21548444444444445,1.792,0.1648203551739552,900,3,22,0,0.5187247222222222,0.9944188989652748,0.4154119424293232,1.8020574647813254,0
2023-08-24 22:15:00+00:00,0.19433777777777778,0.248,0.013135950193734647,900,3,22,0,0.5187247222222222,0.9944188989652748,0.37464529730766,0.24939188128670128,0
2023-08-24 22:30:00+00:00,0.21032555555555557,1.786,0.16325031999015474,900,3,22,0,0.5187247222222222,0.9944188989652748,0.4054666117599305,1.7960237902340666,0
2023-08-24 22:45:00+00:00,0.21355222222222223,0.238,0.02486968361319934,900,3,22,0,0.5187247222222222,0.9944188989652748,0.41168699518959156,0.23933575704126975,0
2023-08-24 23:00:00+00:00,0.19713222222222224,1.794,0.16551687090952125,900,3,23,0,0.5075777777777777,0.9535326567834437,0.3883783547130162,1.8814248124985136,0
2023-08-24 23:15:00+00:00,0.17888555555555558,0.192,0.012729635407182818,900,3,23,0,0.5075777777777777,0.9535326567834437,0.3524298410752595,0.20135650167208172,0
2023-08-24 23:30:00+00:00,0.1979011111111111,1.805,0.16710074425533966,900,3,23,0,0.5075777777777777,0.9535326567834437,0.3898931745545292,1.8929608620734766,0
2023-08-24 23:45:00+00:00,0.19863222222222224,0.395,0.01622551258612444,900,3,23,0,0.5075777777777777,0.9535326567834437,0.3913335668315749,0.41424905291912645,0
2023-08-25 00:00:00+00:00,0.2134911111111111,1.84,0.17184629462227213,900,4,0,0,0.5083022222222222,0.9954011510297032,0.42000821908226077,1.848500976813813,0
2023-08-25 00:15:00+00:00,0.1711777777777778,0.224,0.013485936132336814,900,4,0,0,0.5083022222222222,0.9954011510297032,0.3367637800783436,0.22503490152515984,0
2023-08-25 00:30:00+00:00,0.18847333333333333,1.791,0.16515192843582968,900,4,0,0,0.5083022222222222,0.9954011510297032,0.3707899062674874,1.799274592105184,0
