,mean_power,min_power,max_power,std_power,median_power,q10,q90,energy_kWh
2023-05-10 00:00:00+00:00,0.26026497685185185,0.0,5.261,0.4760865544364121,0.136,0.0,0.5421000000000059,0.006246359444444445
2023-05-11 00:00:00+00:00,1.4949686226851853,0.0,13.071,3.355759363860099,0.164,0.0,10.42,0.035879246944444436
2023-05-12 00:00:00+00:00,1.6790503009259259,0.0,13.86,3.239722004113275,0.333,0.0,9.521,0.04029720722222222
2023-05-13 00:00:00+00:00,1.5694531481481482,0.0,15.785,3.8123259265653595,0.0,0.0,11.495100000000004,0.03766687555555555
2023-05-14 00:00:00+00:00,0.4107525231481482,0.0,4.663,0.7459709146773924,0.131,0.0,1.7251000000000059,0.009858060555555555
2023-05-15 00:00:00+00:00,1.1260380555555556,0.0,12.935,2.761528983360475,0.212,0.0,2.226100000000006,0.02702491333333333
2023-05-16 00:00:00+00:00,0.3603616030092593,0.0,3.533,0.5139031328314729,0.132,0.0,1.316,0.008648678472222223
2023-05-17 00:00:00+00:00,0.9474127256944445,0.0,11.928,2.191985957841931,0.156,0.0,2.172,0.02273790541666667
2023-05-18 00:00:00+00:00,0.18838920138888887,0.0,3.479,0.36074469382244795,0.0,0.0,0.498,0.004521340833333333
2023-05-19 00:00:00+00:00,0.5468280150462963,0.0,12.736,2.0182903617048593,0.0,0.0,0.578,0.01312387236111111
2023-05-20 00:00:00+00:00,1.9362986458333333,0.0,13.158,3.502533381217218,0.163,0.0,8.682,0.0464711675
2023-05-21 00:00:00+00:00,1.7375777719907408,0.0,14.064,3.6966148299068293,0.161,0.0,10.276,0.04170186652777778
2023-05-22 00:00:00+00:00,0.2022074189814815,0.0,3.563,0.35003636082380407,0.137,0.0,0.404,0.004852978055555555
2023-05-23 00:00:00+00:00,1.052191082175926,0.0,13.017,2.5987385303791193,0.162,0.0,2.3663000000000176,0.025252585972222224
2023-05-24 00:00:00+00:00,0.18478661458333334,0.0,4.008,0.3855271142396514,0.042,0.0,0.484,0.00443487875
2023-05-25 00:00:00+00:00,0.2499031365740741,0.0,5.288,0.574696198402804,0.0,0.0,0.498,0.0059976752777777765
2023-05-26 00:00:00+00:00,1.6926118518518518,0.0,12.952,3.6347798427505245,0.143,0.0,10.358,0.04062268444444444
2023-05-27 00:00:00+00:00,0.23783354166666665,0.0,12.375,1.2618965120774646,0.0,0.0,0.21,0.005708005
2023-05-28 00:00:00+00:00,0.05349717013888889,0.0,2.13,0.21176675869633665,0.0,0.0,0.165,0.0012839320833333333
2023-05-29 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-31 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-02 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-04 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-09 00:00:00+00:00,0.45954241898148146,0.0,13.702,2.140824145585357,0.0,0.0,0.216,0.011029018055555553
2023-06-10 00:00:00+00:00,0.08418582175925926,0.0,2.053,0.14021557856631572,0.0,0.0,0.203,0.002020459722222222
2023-06-11 00:00:00+00:00,1.6617065740740742,0.0,13.512,3.1819805140319284,0.179,0.0,7.914,0.03988095777777779
2023-06-12 00:00:00+00:00,0.19609621527777776,0.0,3.799,0.4348409278354267,0.005,0.0,0.256,0.004706309166666667
2023-06-13 00:00:00+00:00,0.18551011574074075,0.0,3.35,0.4169914298098386,0.0,0.0,0.319,0.004452242777777778
2023-06-14 00:00:00+00:00,0.15364480324074073,0.0,3.469,0.3441931684594643,0.0,0.0,0.242,0.0036874752777777777
2023-06-15 00:00:00+00:00,0.9140485300925927,0.0,12.242,2.36873135965929,0.141,0.0,2.045100000000006,0.02193716472222222
2023-06-16 00:00:00+00:00,0.1366544675925926,0.0,4.348,0.30464701052483606,0.0,0.0,0.257,0.003279707222222222
2023-06-17 00:00:00+00:00,0.1912918402777778,0.0,3.909,0.4559154705497646,0.0,0.0,0.255,0.004591004166666666
2023-06-18 00:00:00+00:00,1.9323356018518518,0.0,12.585,3.5436965239056537,0.224,0.0,9.605,0.04637605444444443
2023-06-19 00:00:00+00:00,0.23387858796296296,0.0,3.594,0.4780201590896262,0.008,0.0,0.485,0.005613086111111111
2023-06-20 00:00:00+00:00,0.31399350694444444,0.0,5.686,0.6186156149299342,0.147,0.0,0.946,0.007535844166666667
